,pval,edition,source,sourcefile,status,numseqs,pmid,dbd,family,description,species,cellline,entrez,symbol,synonym,refseq,cluster,comment2,comment2.1,comment3,comment4,comment5,datasetid,zscore,seqfactors,seqdbds,seqdatasetid,nmotifs,pssm,TF
MC00414|Atoh1,0.002887357254756917,,Cistrome,,20,,20944595,Helix-Loop-Helix Family,,atonal homolog 1 (Drosophila),Mus Musculus,Embryonic Stem Cell (ESC) / WA-7,11921,Atoh1,Hath1 MATH-1 Math1 bHLHa14,NM_007500,102.0,,,,,,3237(1/1),-43.8566,(0) denovo (1) denovo (2) denovo (3) denovo (4) denovo (5) denovo (6) TAL1 Tal1 (7) denovo (8) denovo (9) denovo (10) denovo (11) ATOH1 Atoh1 (12) MyoD MYOD1 (13) ELSPBP1 (14) Ascl2 (15) TFAP4 (16) HEB TCF12 (17) NEUROD1 Neurod1 (18) TCF3 Tcf3 (19) denovo (20) NEUROD1 Neurod1 (21) TFAP4 (22) MYF (23) denovo (24) denovo (25) MyoD MYOD1 (26) TFAP4 (27) LMO2 Lmo2 (28) denovo (29) MYOD1 Myod1 (31) E2A TCF3 (32) denovo (33) denovo (34) Myf6 (35) HEN1 NHLH1 C1orf59 (37) HEN1 NHLH1 C1orf59 (39) denovo,(0)  (1)  (2)  (3)  (4)  (5)  (6) Helix-Loop-Helix Family (bHLH) (7)  (8)  (9)  (10)  (11)  (12)  (13)  (14) Helix-Loop-Helix Family (bHLH) (15) Helix-Loop-Helix Family (bHLH) (16)  (17) Helix-Loop-Helix Family (bHLH) (18) Helix-Loop-Helix Family (bHLH),,37.0,"[[[0.381, 0.129, 0.475, 0.015], [0.189, 0.307, 0.269, 0.235], [0.635, 0.012, 0.350, 0.003], [0.349, 0.146, 0.502, 0.003], [0.002, 0.994, 0.001, 0.003], [0.992, 0.003, 0.003, 0.002], [0.004, 0.004, 0.973, 0.019], [0.534, 0.442, 0.016, 0.007], [0.000, 0.007, 0.004, 0.989], [0.005, 0.003, 0.990, 0.002]]]",Atoh1
MC00224|EPAS1,0.0029038178229838785,,Cistrome,,20,,None,Helix-Loop-Helix Family,,endothelial PAS domain protein 1,Homo Sapiens,786-O,2034,EPAS1,,NM_001430,,,,,,,4891(2/2),-44.2338,(1) EPAS1|(2) denovo|(3) HIF1A|(4) denovo|(5) denovo|(6) denovo|(7) denovo|(8) ARNT|(9) OCSBF-1|(10) HIF1|(11) RITA-1|(12) denovo|(13) TGA1a|(14) HIF1A|(15) CBF1|(17) bHLH66|(18) Myc|(19) HAC1|(20) TAF-1|(21) denovo|(23) HBP-1a|(24) TAF-1|(32) ARNT|(39) Opaque-2|(43) PHO4,(1) Helix-Loop-Helix Family|(2)|(3) Helix-Loop-Helix Family|(4)|(5)|(6)|(7)|(8) Helix-Loop-Helix Family|(9)|(10)|(11)|(12)|(13)|(14) Helix-Loop-Helix Family|(15)|(17)|(18) Helix-Loop-Helix Family|(19)|(20)|(21)|(23)|(24)|(32) Helix-Loop-Helix Family|(39)|(43),,25.0,"[[[0.292, 0.246, 0.264, 0.199], [0.301, 0.123, 0.359, 0.217], [0.129, 0.072, 0.511, 0.289], [0.002, 0.994, 0.003, 0.001], [0.991, 0.002, 0.003, 0.004], [0.010, 0.979, 0.003, 0.008], [0.009, 0.007, 0.973, 0.010], [0.011, 0.106, 0.002, 0.880], [0.525, 0.244, 0.069, 0.163], [0.077, 0.425, 0.256, 0.243]]]",EPAS1
MC00385|Ets1,0.0029121453208880155,,Cistrome,,16,,21765417,Ets Domain Family,,"E26 avian leukemia oncogene 1, 5' domain",Mus Musculus,CD4+ / CD8+,23871,Ets1,,NM_001038642|NM_011808,,,,,,,3150(2/2),-35.1367,(1) denovo|(2) denovo|(3) ERG|(4) Ets|(5) denovo|(6) Ets1|(7) c-Ets-1 68|(8) Ets1|(9) PEA3|(10) denovo|(11) Gabpa|(12) Ets|(13) Erg|(14) Ets1|(15) ETS2|(16) Etv1|(17) Ets1|(18) Gabpa|(19) Fli1|(20) GABP-alpha|(21) denovo|(22) Gabpa|(23) Elk3|(24) GABPA|(25) FLI1|(26) Etv5|(27) Elk1|(28) Elk-1|(29) denovo|(30) ETS2|(31) NRF-2/GABP|(32) Gm5454|(33) Elf2|(34) Etv4|(35) Elk-1|(37) Elk-1|(38) Ehf|(39) Gm4881|(40) Etv3|(41) Elf5|(42) Elf4|(43) EHF|(44) Elk-1|(45) Ehf|(46) Etv6|(47) Ets1|(48) NERF1a|(49) Elf3|(50) ELF1|(51) Elf5|(52) PU.1|(55) Sfpi1|(56) Spic|(57) PU1,(1)|(2)|(3) Ets Domain Family|(4)|(5)|(6) Ets Domain Family|(7)|(8) Ets Domain Family|(9)|(10)|(11) Ets Domain Family|(12)|(13) Ets Domain Family|(14) Ets Domain Family|(15) Ets Domain Family|(16) Ets Domain Family|(17) Ets Domain Family|(18) Ets Domain Family|(19) Ets Domain Family|(20)|(21)|(22) Ets Domain Family|(23) Ets Domain Family|(24) Ets Domain Family|(25) Ets Domain Family|(26) Ets Domain Family|(27) Ets Domain Family|(28)|(29)|(30) Ets Domain Family|(31)|(32) Ets Domain Family|(33) Ets Domain Family|(34) Ets Domain Family|(35)|(37)|(38) Ets Domain Family|(39)|(40) Ets Domain Family|(41) Ets Domain Family|(42) Ets Domain Family|(43) Ets Domain Family|(44)|(45) Ets Domain Family|(46) Ets Domain Family|(47) Ets Domain Family|(48)|(49) Ets Domain Family|(50) Ets Domain Family|(51) Ets Domain Family|(52)|(55) Ets Domain Family|(56) Ets Domain Family|(57),,54.0,"[[[0.073, 0.672, 0.088, 0.167], [0.046, 0.735, 0.046, 0.173], [0.831, 0.018, 0.098, 0.053], [0.016, 0.865, 0.023, 0.096], [0.275, 0.014, 0.018, 0.693], [0.011, 0.025, 0.016, 0.948], [0.021, 0.931, 0.014, 0.034], [0.028, 0.948, 0.010, 0.014], [0.016, 0.024, 0.125, 0.835], [0.030, 0.287, 0.556, 0.127], [0.044, 0.341, 0.037, 0.578], [0.107, 0.359, 0.201, 0.333], [0.174, 0.287, 0.182, 0.358]]]",Ets1
MS00727|ZBTB49,0.0029690627230280486,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,zinc finger and BTB domain containing 49,Homo Sapiens,293FT,166793,ZBTB49,,NM_145291,,,,,,,,,,,,,"[[[0.010, 0.052, 0.010, 0.928], [0.010, 0.010, 0.010, 0.970], [0.088, 0.257, 0.106, 0.549], [0.010, 0.710, 0.010, 0.270], [0.012, 0.010, 0.964, 0.014], [0.010, 0.970, 0.010, 0.010], [0.010, 0.487, 0.128, 0.375], [0.013, 0.010, 0.060, 0.917], [0.015, 0.010, 0.965, 0.010], [0.216, 0.040, 0.684, 0.060], [0.069, 0.838, 0.041, 0.052], [0.444, 0.323, 0.223, 0.010], [0.010, 0.414, 0.408, 0.168], [0.010, 0.010, 0.970, 0.010], [0.010, 0.040, 0.010, 0.940], [0.010, 0.970, 0.010, 0.010], [0.777, 0.010, 0.074, 0.139]]]",ZBTB49
MS00401|ZNF306,0.0030640217667620706,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,,Homo Sapiens,293FT,,ZNF306,,,,,,,,,,,,,,,"[[[0.087, 0.125, 0.112, 0.676], [0.010, 0.010, 0.970, 0.010], [0.059, 0.010, 0.921, 0.010], [0.010, 0.010, 0.497, 0.483], [0.099, 0.872, 0.019, 0.010], [0.010, 0.010, 0.010, 0.970], [0.970, 0.010, 0.010, 0.010], [0.333, 0.010, 0.647, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.888, 0.039, 0.063], [0.101, 0.024, 0.840, 0.035], [0.759, 0.017, 0.204, 0.020]]]",ZNF306
MS00327|MAFG,0.0031281043305750322,,SELEX,,9,,23332764,Leucine Zipper Family,,v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian),Homo Sapiens,293FT,4097,MAFG,,NM_002359|NM_032711,,,,,,,,,,,,,"[[[0.441, 0.120, 0.192, 0.247], [0.485, 0.071, 0.106, 0.338], [0.406, 0.125, 0.114, 0.355], [0.296, 0.171, 0.225, 0.308], [0.056, 0.170, 0.021, 0.753], [0.010, 0.011, 0.969, 0.010], [0.100, 0.862, 0.010, 0.028], [0.068, 0.080, 0.022, 0.830], [0.046, 0.024, 0.812, 0.118], [0.864, 0.049, 0.019, 0.068], [0.081, 0.391, 0.442, 0.086], [0.058, 0.016, 0.067, 0.859], [0.121, 0.789, 0.033, 0.057], [0.791, 0.023, 0.104, 0.082], [0.023, 0.010, 0.883, 0.084], [0.010, 0.955, 0.024, 0.011], [0.689, 0.018, 0.220, 0.073], [0.325, 0.187, 0.158, 0.330], [0.410, 0.092, 0.145, 0.353], [0.401, 0.101, 0.092, 0.406], [0.269, 0.177, 0.119, 0.435]]]",MAFG
M00737|E2F1::TFDP2,0.0032662610047653473,,Transfac,,4,,9372931,Transcription Factor Family,,E2F transcription factor 1|transcription factor Dp-2 (E2F dimerization partner 2),Homo Sapiens,,1869|7029,E2F1::TFDP2,,NM_005225|NM_001178138|NM_001178139|NM_001178140|NM_001178141|NM_001178142|NM_006286,145.0,,,,,,,,,,,,"[[[0.083, 0.010, 0.042, 0.865], [0.083, 0.010, 0.010, 0.897], [0.010, 0.010, 0.010, 0.970], [0.010, 0.605, 0.375, 0.010], [0.010, 0.605, 0.375, 0.010], [0.010, 0.938, 0.042, 0.010], [0.010, 0.042, 0.938, 0.010], [0.010, 0.813, 0.167, 0.010]]]",E2F1::TFDP2
M01744|ZFP42,0.0033458684423540164,,Transfac,,4,,18358816,BetaBetaAlpha-zinc finger Family,,zinc finger protein 42 homolog (mouse),Homo Sapiens,,132625,ZFP42,REX1 ZNF754,NM_174900,103.0,,,,,,,,,,,,"[[[0.655, 0.092, 0.232, 0.021], [0.581, 0.117, 0.160, 0.142], [0.291, 0.241, 0.414, 0.054], [0.845, 0.086, 0.041, 0.028], [0.018, 0.010, 0.022, 0.950], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.068, 0.896, 0.025, 0.011], [0.086, 0.043, 0.424, 0.447], [0.079, 0.090, 0.761, 0.070], [0.146, 0.608, 0.147, 0.099], [0.092, 0.498, 0.223, 0.187]]]",ZFP42
MS00248|BHLHB3,0.003349188075434495,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,,Homo Sapiens,293FT,,BHLHB3,,,,,,,,,,,,,,,"[[[0.220, 0.320, 0.331, 0.129], [0.058, 0.015, 0.481, 0.446], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.013, 0.010, 0.967], [0.010, 0.010, 0.970, 0.010], [0.491, 0.479, 0.010, 0.020], [0.137, 0.554, 0.129, 0.180]]]",BHLHB3
MC00128|CTCF,0.003380633459756699,,Cistrome,,20,,20299549,BetaBetaAlpha-zinc finger Family,,CCCTC-binding factor (zinc finger protein),Homo Sapiens,GM19240,10664,CTCF,,NM_001191022|NM_006565,,,,,,,4901(55/56),-66.6558,(1) CTCF|(2) denovo|(3) denovo|(4) RAD21|(5) denovo|(6) ZBTB7A|(7) denovo|(8) denovo,(1) BetaBetaAlpha-zinc finger Family|(2)|(3)|(4)|(5)|(6) BetaBetaAlpha-zinc finger Family|(7)|(8),,8.0,"[[[0.056, 0.297, 0.276, 0.370], [0.389, 0.100, 0.405, 0.105], [0.053, 0.382, 0.515, 0.049], [0.016, 0.525, 0.013, 0.445], [0.048, 0.012, 0.839, 0.101], [0.056, 0.889, 0.026, 0.029], [0.003, 0.980, 0.002, 0.015], [0.387, 0.562, 0.023, 0.028], [0.009, 0.619, 0.006, 0.366], [0.007, 0.983, 0.006, 0.004], [0.037, 0.054, 0.030, 0.879], [0.306, 0.071, 0.484, 0.138], [0.014, 0.361, 0.598, 0.027], [0.077, 0.127, 0.019, 0.777], [0.005, 0.002, 0.987, 0.006], [0.040, 0.050, 0.833, 0.077], [0.125, 0.535, 0.084, 0.255], [0.164, 0.457, 0.205, 0.174], [0.396, 0.128, 0.374, 0.101]]]",CTCF
MS00323|ZBTB7C,0.003434927363841156,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,zinc finger and BTB domain containing 7C,Homo Sapiens,293T,201501,ZBTB7C,,NM_001039360,,,,,,,,,,,,,"[[[0.267, 0.116, 0.456, 0.161], [0.120, 0.667, 0.141, 0.072], [0.215, 0.078, 0.623, 0.084], [0.795, 0.176, 0.010, 0.019], [0.037, 0.943, 0.010, 0.010], [0.010, 0.966, 0.010, 0.014], [0.774, 0.206, 0.010, 0.010], [0.017, 0.957, 0.010, 0.016], [0.072, 0.813, 0.043, 0.072], [0.249, 0.136, 0.517, 0.098], [0.477, 0.208, 0.118, 0.197], [0.327, 0.309, 0.193, 0.171]]]",ZBTB7C
MC00163|Creb1,0.0034673205720376354,,Cistrome,,18,,20393465,Leucine Zipper Family,,cAMP responsive element binding protein 1,Mus Musculus,Cortical Neuron,12912,Creb1,,NM_001037726|NM_009952|NM_133828,,,,,,,3376(4/4),-48.0351,(1) CREB1|(2) CREB|(3) CREB|(4) CREB|(5) CREB|(6) STF1|(7) CREB|(8) CREB|(9) CREB|(10) denovo|(11) STF1|(12) CST6|(13) denovo|(14) denovo|(15) CREB1|(16) denovo|(17) denovo|(18) Atf1|(19) ATF2|(20) Jundm2|(21) ATF2::JUN|(22) denovo|(23) TGA2|(24) v-Jun|(25) E4F1|(26) TGA1b|(27) denovo|(28) TGA1a|(29) ATF4|(31) HBP-1a|(32) TGA1b|(33) atf1:pcr1|(34) ATF3|(35) CPRF-3|(37) CPRF-3|(38) CPRF-2|(39) ATF1|(40) CPRF-2|(41) RITA-1|(42) TAF-1|(44) GBP|(45) bZIP910|(46) HBP-1b|(47) CNTN2::CREB1|(50) AP-1|(77) Knox3,(1) Leucine Zipper Family|(2)|(3)|(4)|(5)|(6)|(7)|(8)|(9)|(10)|(11)|(12)|(13)|(14)|(15) Leucine Zipper Family|(16)|(17)|(18) Leucine zipper Family|(19) Leucine Zipper Family|(20)|(21) Leucine zipper Family|(22)|(23)|(24)|(25) Helix-Loop-Helix Family|(26)|(27)|(28)|(29) Leucine Zipper Family|(31)|(32)|(33)|(34) Leucine Zipper Family|(35)|(37)|(38)|(39) Leucine zipper Family|(40)|(41)|(42)|(44)|(45)|(46)|(47) Leucine zipper Family|(50)|(77),,46.0,"[[[0.129, 0.185, 0.090, 0.596], [0.099, 0.083, 0.490, 0.329], [0.694, 0.028, 0.198, 0.082], [0.005, 0.987, 0.003, 0.005], [0.090, 0.008, 0.893, 0.009], [0.008, 0.006, 0.003, 0.983], [0.007, 0.984, 0.003, 0.006], [0.986, 0.008, 0.005, 0.001], [0.034, 0.494, 0.089, 0.384]]]",Creb1
MS00264|MESP1,0.00349032501937091,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,mesoderm posterior 1 homolog (mouse),Homo Sapiens,293FT,55897,MESP1,,NM_018670,,,,,,,,,,,,,"[[[0.402, 0.255, 0.049, 0.294], [0.470, 0.192, 0.317, 0.021], [0.010, 0.970, 0.010, 0.010], [0.866, 0.114, 0.010, 0.010], [0.010, 0.855, 0.093, 0.042], [0.024, 0.865, 0.045, 0.066], [0.010, 0.111, 0.010, 0.869], [0.010, 0.093, 0.849, 0.048], [0.010, 0.366, 0.254, 0.370], [0.223, 0.185, 0.324, 0.268]]]",MESP1
MC00453|STAT5A,0.0036456588136870027,,Cistrome,,16,,21516110,Stat Protein Family,,signal transducer and activator of transcription 5A,Homo Sapiens,Lymphocyte,6776,STAT5A,,NM_003152,,,,,,,2690(1/1),-44.0625,(1) denovo|(2) denovo|(3) STAT5A|(4) STAT5B|(5) STAT1|(6) STAT1|(7) STATx|(8) SOAT1|(9) STAT1|(10) STAT3|(11) STAT3|(12) STAT1|(13) STAT4|(14) STAT5A|(15) denovo|(16) STAT3,(1)|(2)|(3) Stat Protein Family|(4) Stat Protein Family|(5) Stat Protein Family|(6) Stat Protein Family|(7)|(8)|(9) Stat Protein Family|(10) Stat Protein Family|(11) Stat Protein Family|(12) Stat Protein Family|(13) Stat Protein Family|(14) Stat Protein Family|(15)|(16) Stat Protein Family,,16.0,"[[[0.142, 0.368, 0.237, 0.253], [0.463, 0.101, 0.276, 0.160], [0.207, 0.215, 0.181, 0.397], [0.008, 0.013, 0.011, 0.968], [0.044, 0.012, 0.010, 0.934], [0.021, 0.962, 0.008, 0.009], [0.042, 0.403, 0.019, 0.536], [0.268, 0.199, 0.197, 0.337], [0.543, 0.025, 0.400, 0.033], [0.009, 0.008, 0.954, 0.028], [0.928, 0.010, 0.008, 0.054], [0.970, 0.006, 0.010, 0.014], [0.409, 0.168, 0.227, 0.196]]]",STAT5A
M00327|PAX3,0.0036713125186902396,,Transfac,,4,,8633043,Homeodomain Family,,paired box 3,Homo Sapiens,,5077,PAX3,CDHS HUP2 MGC120381 MGC120382 MGC120383 MGC120384 MGC134778 WS1 WS3,NM_000438|NM_001127366|NM_013942|NM_181457|NM_181458|NM_181459|NM_181460|NM_181461,362.0,,,,,,,,,,,,"[[[0.412, 0.098, 0.196, 0.294], [0.333, 0.294, 0.176, 0.197], [0.451, 0.255, 0.196, 0.098], [0.255, 0.196, 0.196, 0.353], [0.235, 0.157, 0.216, 0.392], [0.196, 0.255, 0.255, 0.294], [0.078, 0.549, 0.176, 0.197], [0.059, 0.039, 0.804, 0.098], [0.118, 0.039, 0.010, 0.833], [0.020, 0.745, 0.216, 0.019], [0.863, 0.059, 0.020, 0.058], [0.020, 0.882, 0.010, 0.088], [0.010, 0.010, 0.902, 0.078], [0.020, 0.412, 0.490, 0.078], [0.196, 0.059, 0.010, 0.735], [0.196, 0.294, 0.020, 0.490], [0.294, 0.196, 0.294, 0.216], [0.294, 0.275, 0.157, 0.274], [0.294, 0.098, 0.412, 0.196], [0.255, 0.196, 0.294, 0.255], [0.314, 0.157, 0.176, 0.353]]]",PAX3
M01288|NEUROD1,0.0037190019834953403,,Transfac,,4,,17761679,Helix-Loop-Helix Family,,neurogenic differentiation 1,Homo Sapiens,,4760,NEUROD1,BETA2 BHF-1 MODY6 NEUROD bHLHa3,NM_002500,353.0,,,,,,,,,,,,"[[[0.025, 0.383, 0.267, 0.325], [0.292, 0.105, 0.149, 0.454], [0.091, 0.361, 0.463, 0.085], [0.010, 0.970, 0.010, 0.010], [0.452, 0.010, 0.010, 0.528], [0.010, 0.010, 0.857, 0.123], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.146, 0.834, 0.010], [0.135, 0.207, 0.281, 0.377], [0.010, 0.394, 0.399, 0.197], [0.063, 0.479, 0.094, 0.364]]]",NEUROD1
M00483|ATF6,0.003729562180783408,,Transfac,,4,,10856300,Leucine Zipper Family,,activating transcription factor 6,Homo Sapiens,,22926,ATF6,ATF6A,NM_007348,119.0,,,,,,,,,,,,"[[[0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.100, 0.880, 0.010], [0.100, 0.010, 0.880, 0.010]]]",ATF6
M01132|SF1,0.003934267145848547,,Transfac,,4,,"P1481895. New matrix entries., Rel111 Book 0001 (2007)",Cys4 zinc finger of nuclear receptor type,,splicing factor 1,Homo Sapiens,,7536,SF1,BBP D11S636 MBBP ZFM1 ZNF162,NM_001178030|NM_001178031|NM_004630|NM_201995|NM_201997|NM_201998|NR_033649|NR_033650,154.0,,,,,,,,,,,,"[[[0.077, 0.077, 0.077, 0.769], [0.205, 0.077, 0.590, 0.128], [0.615, 0.010, 0.282, 0.093], [0.051, 0.929, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.026, 0.010, 0.010, 0.954], [0.010, 0.053, 0.010, 0.927], [0.026, 0.184, 0.737, 0.053], [0.395, 0.105, 0.316, 0.184]]]",SF1
MS00252|Bhlhb2,0.004048389684609632,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,,Mus Musculus,293FT,,Bhlhb2,,,,,,,,,,,,,,,"[[[0.321, 0.212, 0.341, 0.126], [0.084, 0.016, 0.431, 0.469], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.011, 0.014, 0.010, 0.965], [0.010, 0.010, 0.970, 0.010], [0.576, 0.378, 0.010, 0.036], [0.131, 0.472, 0.158, 0.239]]]",Bhlhb2
UP00404|ELF2,0.004159294263691826,,UniPROBE,,9,,19443739,Ets Domain Family,,E74-like factor 2 (ets domain transcription factor),Homo Sapiens,,1998,ELF2,"EU32 NERF NERF-1A NERF-1B NERF-1a,b NERF-2",NM_006874|NM_201999,40.0,,,,,,,,,,,,"[[[0.382, 0.199, 0.201, 0.218], [0.092, 0.332, 0.303, 0.273], [0.165, 0.273, 0.353, 0.209], [0.322, 0.256, 0.129, 0.293], [0.853, 0.013, 0.079, 0.055], [0.010, 0.793, 0.026, 0.171], [0.059, 0.010, 0.010, 0.921], [0.015, 0.010, 0.010, 0.965], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.891, 0.089], [0.010, 0.144, 0.836, 0.010], [0.243, 0.062, 0.305, 0.390], [0.427, 0.118, 0.096, 0.359], [0.203, 0.114, 0.262, 0.421], [0.138, 0.359, 0.164, 0.339]]]",ELF2
MC00223|SMAD2/3,0.004338159654581619,,Cistrome,,16,,21741376,MH1 Domain Family,,,Homo Sapiens,Embryonic Stem Cell (ESC) / H9,,SMAD2/3,,,37.0,,,,,,2425(1/4),-32.4824,(0) denovo (1) denovo (2) denovo (3) denovo (4) denovo (7) denovo (10) denovo (11) SMAD3 (13) SMAD,(0)  (1)  (2)  (3)  (4)  (7)  (10)  (11) MH1 Domain Family (13),,9.0,"[[[0.306, 0.031, 0.563, 0.100], [0.039, 0.048, 0.875, 0.038], [0.130, 0.085, 0.031, 0.754], [0.019, 0.013, 0.945, 0.022], [0.281, 0.305, 0.159, 0.256], [0.034, 0.537, 0.278, 0.150], [0.960, 0.013, 0.009, 0.017], [0.019, 0.011, 0.955, 0.014], [0.743, 0.172, 0.015, 0.070], [0.018, 0.928, 0.026, 0.028]]]",SMAD2/3
MC00503|SMAD3,0.004338159654581619,,Cistrome,,16,,21741376,MH1 Domain Family,,SMAD family member 3,Homo Sapiens,Embryonic Stem Cell (ESC) / H9,4088,SMAD3,DKFZp586N0721 DKFZp686J10186 HSPC193 HsT17436 JV15-2 MADH3 MGC60396,NM_001145102 NM_001145103 NM_001145104 NM_005902,37.0,,,,,,2425(2/11),-32.4824,(0) denovo (1) denovo (2) denovo (3) denovo (4) denovo (7) denovo (10) denovo (11) SMAD3 (13) SMAD,(0)  (1)  (2)  (3)  (4)  (7)  (10)  (11) MH1 Domain Family (13),,9.0,"[[[0.306, 0.031, 0.563, 0.100], [0.039, 0.048, 0.875, 0.038], [0.130, 0.085, 0.031, 0.754], [0.019, 0.013, 0.945, 0.022], [0.281, 0.305, 0.159, 0.256], [0.034, 0.537, 0.278, 0.150], [0.960, 0.013, 0.009, 0.017], [0.019, 0.011, 0.955, 0.014], [0.743, 0.172, 0.015, 0.070], [0.018, 0.928, 0.026, 0.028]]]",SMAD3
MC00183|Snai1,0.004371809228512991,,Cistrome,,16,,,BetaBetaAlpha-zinc finger Family,,snail homolog 1 (Drosophila),Mus Musculus,myoblasts,20613,Snai1,AI194338 Sna Sna1 Snail Snail1,NM_011427,80.0,,,,,,6786(1/1),-23.929,(0) denovo (1) denovo (2) denovo (3) denovo (4) denovo (5) denovo (6) denovo (7) denovo (8) denovo (10) denovo (12) denovo,(0)  (1)  (2)  (3)  (4)  (5)  (6)  (7)  (8)  (10)  (12),,11.0,"[[[0.113, 0.388, 0.086, 0.412], [0.010, 0.010, 0.949, 0.031], [0.021, 0.031, 0.924, 0.024], [0.863, 0.065, 0.031, 0.041], [0.010, 0.928, 0.045, 0.017], [0.938, 0.024, 0.031, 0.007], [0.017, 0.014, 0.928, 0.041], [0.034, 0.859, 0.041, 0.065], [0.179, 0.017, 0.399, 0.406], [0.106, 0.667, 0.210, 0.017], [0.103, 0.780, 0.014, 0.103], [0.240, 0.450, 0.131, 0.179], [0.272, 0.223, 0.357, 0.148]]]",Snai1
MS00289|TFEB,0.004639017396498191,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,transcription factor EB,Homo Sapiens,293T,7942,TFEB,,NM_001167827|NM_007162,,,,,,,,,,,,,"[[[0.469, 0.146, 0.353, 0.032], [0.134, 0.261, 0.144, 0.461], [0.010, 0.970, 0.010, 0.010], [0.930, 0.031, 0.010, 0.029], [0.010, 0.864, 0.010, 0.116], [0.235, 0.024, 0.731, 0.010], [0.048, 0.018, 0.016, 0.918], [0.010, 0.010, 0.970, 0.010], [0.685, 0.184, 0.068, 0.063], [0.030, 0.616, 0.058, 0.296]]]",TFEB
MC00372|Yy1,0.004661313759002361,,Cistrome,,18,,21170310,BetaBetaAlpha-zinc finger Family,,YY1 transcription factor,Mus Musculus,V6.5,22632,Yy1,,NM_009537,,,,,,,1944(3/3),-56.9497,(1) Zfp42|(2) denovo|(3) denovo|(4) denovo|(5) YY1|(6) YY1|(7) denovo|(8) denovo|(9) denovo|(10) denovo|(11) YY1|(12) denovo|(14) denovo|(15) denovo|(16) Yy2|(17) REX1,(1) BetaBetaAlpha-zinc finger Family|(2)|(3)|(4)|(5) BetaBetaAlpha-zinc finger Family|(6) BetaBetaAlpha-zinc finger Family|(7)|(8)|(9)|(10)|(11) BetaBetaAlpha-zinc finger Family|(12)|(14)|(15)|(16) BetaBetaAlpha-zinc finger Family|(17),,16.0,"[[[0.896, 0.007, 0.092, 0.005], [0.876, 0.034, 0.037, 0.052], [0.221, 0.178, 0.554, 0.046], [0.989, 0.002, 0.005, 0.004], [0.000, 0.000, 0.001, 0.999], [0.000, 0.000, 1.000, 0.000], [0.003, 0.000, 0.993, 0.004], [0.020, 0.967, 0.003, 0.010], [0.038, 0.116, 0.673, 0.172], [0.092, 0.086, 0.757, 0.066], [0.112, 0.772, 0.054, 0.061], [0.088, 0.383, 0.358, 0.171]]]",Yy1
